name,price
Радиатор масляный Ресанта ОМПТ-12Н,37 090 ₸
Конвектор Ресанта ОК-2000 СН,29 890 ₸
Конвектор Ресанта ОК-2000,33 990 ₸
Конвектор Ресанта ОК-1500 СН,25 090 ₸
Инфракрасный обогреватель Ресанта ИКО-800,27 990 ₸
Радиатор масляный Ресанта ОМПТ-7НЧ,29 090 ₸
Обогреватель Electrolux EOHM-4209,39 990 ₸
Тепловентилятор Eleсtrolux EFH/С-5115 (White),14 990 ₸
Обогреватель Electrolux EOHM-4221,46 990 ₸
Тепловентилятор Eleсtrolux EFH/С-5115 Black,14 990 ₸
Обогреватель Ballu Cube BOH/CB-11W 2200,32 990 ₸
Обогреватель Ballu Cube BOH/CB-07W 1500,21 990 ₸
Тепловая завеса Ballu BHC-L06-S03,57 890 ₸
Обогреватель Ballu Cube BOH/CB-09W 2000,27 990 ₸
Тепловая завеса Ballu BHC-CE-3T,62 790 ₸
Конвектор Ресанта ОК-1600,27 990 ₸
Тепловая пушка Ballu BHP-P-3,40 490 ₸
Конвектор Ресанта ОК-2500,40 790 ₸
Радиатор масляный Electrolux Sphere EOH/M-6209,30 990 ₸
Обогреватель конвекторный Electrolux Rapid Digital Inverter ECH/RI-2500,49 990 ₸
Тепловентилятор ARG W-HF1705,6 490 ₸
Калорифер газовый Профтепло КГ-10,41 590 ₸
Обогреватель масляный ARG W-HOF99-7,19 990 ₸
Тепловая пушка Ballu BHP-P-5,51 190 ₸
Масляный радиатор Ресанта ОМ-9А (2 кВт),31 590 ₸
Радиатор масляный Ресанта ОМПТ-9Н,30 590 ₸
Конвектор Ресанта ОК-2000С  (стич),17 290 ₸
Конвектор Electrolux ECH/AS-2000 MR,39 990 ₸
Конвектор Electrolux ECH/A-2000 M,29 990 ₸
Конвектор Electrolux ECH/AS-1000 MR,29 990 ₸
Тепловентилятор Профтепло ТТ2,13 490 ₸
Обогреватель инфракрасный Ресанта ИКО-1000,33 690 ₸
Радиатор масляный Ресанта ОМПТ-9НЧ,34 990 ₸
Тепловентилятор Ресанта ТВС-2  2 кВт,7 490 ₸
Тепловентилятор керамический ARG W-HC1806,12 990 ₸
Обогреватель масленный ARG W-HOF99-11,26 990 ₸
Обогреватель масляный ARG W-HOF99-9,23 990 ₸
Конвектор Electrolux ECH/AS-2000 ЕR,44 990 ₸
Конвектор Electrolux ECH/A-2500 M,34 990 ₸
Конвектор Electrolux ECH/AS-1500 MR,34 990 ₸
Конвектор Ресанта ОК-1700,29 590 ₸
Инфракрасный обогреватель Ресанта ИКО-1500,35 990 ₸
Калорифер газовый Профтепло КГ-18,48 990 ₸
Обогреватель конвекторный Electrolux Brilliant Next ECH/BNE-2000,64 990 ₸
Масляный радиатор Ресанта ОМПТ-12НЧ,39 890 ₸
Радиатор масляный Ресанта ОМ-9НВ,39 090 ₸
Калорифер газовый Профтепло КГ-57,102 290 ₸
Тепловентилятор ARG W-HF1714,7 990 ₸
Тепловентилятор Профтепло ТТ18Т,87 290 ₸
Калорифер дизельный Профтепло ДН-65П,310 190 ₸
Калорифер дизельный Профтепло ДК-30П,137 690 ₸
Конвектор электрический Electrolux ECH/AG-2000 PI,72 990 ₸
Тепловентилятор ARG W-HC1603,10 990 ₸
Тепловентилятор ARG W-HF2020,12 990 ₸
Каминокомплект RealFlame Philadelphia 26 DN +MB BL(MB2),369 990 ₸
Конвектор ARG W-HCT1138B,19 990 ₸
Радиатор Масляный ARG W-HOF99-11 Black,34 990 ₸
Каминокомплект RealFlame Dublin Rock STD/EUG/24 AO +Majestic BL,319 990 ₸
"Каминокомплект RealFlame Leda R 25'5/24 WTM +Sparta 25,5(CH-721)",369 990 ₸
Умный эко-обогреватель Joule JPSH02V Black,111 490 ₸
Умный эко-обогреватель Joule JPSH04 Gold,130 990 ₸
Умный эко-обогреватель Joule JPSH02 Black,120 990 ₸
Умный эко-обогреватель Joule JPSH03 Silver,130 990 ₸
Умный эко-обогреватель Joule JPSH01V White,111 490 ₸
Тепловентилятор электрический Ballu BKN-3,24 990 ₸
Тепловентилятор Ресанта ТВС-1 2кВт,7 090 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
Тепловентилятор Eleсtrolux EFH/S-1120,10 990 ₸
